🍎,熟語部分（英訳）,熟語部分（和訳）,英文,和文
1,go on Ving,～し続ける,He went on reading in the living room till late at night.,彼は夜遅くまでずっとリビングで読書をし続けた。
1,keep on Ving,～し続ける,We kept on walking for over two hours.,私たちは２時間以上歩き続けた。
2,（all）at once,① 一度に いっせいに ② すぐに,"When the teacher came, they all stood up at once.",先生が入ってきたとき、彼らはいっせいに起立した。
2,（all）at once,① 一度に いっせいに ② すぐに,I want you to go to your boss at once.,すぐに上司のところに行ってもらいたい。
3,stand by ～,（苦しんでいる人）～の力になる ～の味方になる,I will always stand by you whenever you need help.,助けが必要なときはいつでもあなたの力になります。
3,stand by,① 傍観する ② 待機する スタンバイする,"While his brother was attacked, he was just standing by.",兄が襲われている間、彼はただ傍観しているだけだった。
4,in spite of ～,～にもかかわらず ～だけれども,They went on a hike in spite of the heavy rain.,大雨にもかかわらず、彼らはハイキングにでかけた。
5,be aware of ～,～に気づいている ～を意識している,The teacher was not aware of the problem among the children.,その先生は児童のなかにある問題を意識していなかった。
5,be conscious of ～,～を意識している,Some athletes are conscious of the spectators.,一部のスポーツ選手は観客のことを意識している。
6,wear out,①（長期の使用で）すり減る ②（長期の使用で）ボロボロになる 駄目になる,Your shoes are worn out.,靴がすり減ってしまっているよ。
6,wear out,①（長期の使用で）すり減る ②（長期の使用で）ボロボロになる 駄目になる,You should throw away the clothes that have been worn out.,ボロボロになった服は捨てたほうがいいよ。
7,not so much as V ～,～さえしない,Those children cannot so much as write their own names.,その子供たちは自分の名前さえ書けない。
7,without so much as Ving ～,～さえせずに,He left the room without so much as saying good-bye.,彼はさよならさえ言わずに部屋を出た。
8,happen to V,たまたまV する もしかしたらV する,Do you happen to know where she lives?,もしかしたら彼女がどこに住んでいるか知っていますか。
8,happen to V,たまたまV する もしかしたらV する,It happened that there was a meeting on that day.,たまたまその日に会議があった。
9,take place,①（出来事）が開催される・行われる ② (事故や出来事)が起きる・起こる,A wedding ceremony will take place at this temple next month.,結婚式が来月この神社で行われます。
9,take place,①（出来事）が開催される・行われる ② (事故や出来事)が起きる・起こる,A traffic accident took place here this morning.,"今朝, ここで交通事故が起きた。"
10,fail in ～,～に失敗する,He failed in his attempt to swim across the river.,彼はその川に泳いで渡ろうとして失敗した。
11,know better than to V ～,～するほど愚かではない,She knows better than to do such a thing in class.,彼女は授業中そのようなことをするほど愚かではない。
12,there is no Ving,～することができない,There is no telling what will happen tomorrow.,明日何が起きるかはわからない。
12,there is no Ving,～することができない,There is no food here.,ここには食べ物が全くない。
13,be at odds with ～,～と争っている,Since childhood my brother and I have continually been at odds with each other.,"兄と私は子どもの頃から, 絶えずお互いに争っている。"
14,far from ～,① 決して～ではない ② ～どころか,The attempt was far from being a success.,その試みは決して成功ではなかった。
14,far from ～,① 決して～ではない ② ～どころか,"Far from being a failure, it was a great success.","失敗どころか, それは大成功だった。"
15,fill ～out,～を記入する,Could you fill out the form with the ncecessary information?,必要事項を用紙に記入していただけますか。
16,refer to ～,① ～について述べる ～を参考にする ② ～を表す ～を示す,He referred to the data during his speech.,"スピーチの最中, 彼はそのデータを参考にした。"
16,refer to ～,① ～について述べる ～を参考にする ② ～を表す ～を示す,These figures refer to the number of crimes committed last year.,これらの数字は昨年起きた犯罪の数を示している。
17,up to 人,～次第である ～に決定権がある,You can go if you like ― it’s up to you.,"行きたければ, 行ってもいいですよ。あなた次第です。"
18,lead a 形容詞 life,～な生活を送る,My father led a happy life and died a peaceful death.,"私の父は幸せな生活を送り, 安らかに亡くなった。"
19,it is no use Ving,～しても無駄である,It is no use arguing with him.,彼と議論をしても無駄だ。
20,be capable of ～,～ができる,This bus is capable of carrying up to 40 people.,このバスは最大40人を乗せることができる。
21,all of a sudden,全く突然に,"All of a sudden, all the lights in the room went out.","全くの突然に, 部屋の明かりが全て消えた。"
22,bear ～ in mind / keep ～ in mind,～を心に留めておく ～を覚えておく,You should keep this advice in mind. ,この助言を忘れないようにね。
23,before long,まもなく,I think he will get home before long. ,彼はまもなく帰宅すると思う。
23,before long,まもなく,It will not be long before he gets home.,まもなく彼は帰宅するだろう。
24,be pleased with ～,～に喜んでいる,She is pleased with her new job.,彼女は新しい仕事に喜んでいる。
25,call ～ off,～を中止する,The soccer game was called off because of the heavy rain.,"大雨のために, サッカーの試合が中止された。"
25,call ～ off,～を中止する,Our flight was canceled because of the heavy rain.,"大雨のために, 私たちのフライトが取りやめになった。"
26,after all（文頭）,（そもそも）～だから,"Don’t be so angry with her. After all, she is only a child.","彼女のことをそんなに怒らないで。 そもそも, まだ子供なんだから。"
26,after all（文頭）,（そもそも）～だから,"She told me that she would come, but she didn’t come after all.","彼女は私に来ると言っていたが, 結局来なかった。"
27,catch up with ～,～に追いつく,"I ran fast, so I was able to catch up with him.","私は速く走ったので, 彼に追いつくことができた。"
27,catch up with ～,～に追いつく,I’m going to meet some of my old friends to catch up tomorrow.,"明日近況を知るため, 何人かの友人と会うつもりです。"
27,catch up with ～,～に追いつく,"I could hardly sleep last night, so I want to catch up on some sleep.","昨夜ほとんど眠れなかったので, 少し寝たい。"
28,keep up with ～,～に遅れないようにする,"I ran fast, but I found it difficult to keep up with him.","私は速く走ったが,彼に遅れないようにすることがなかなかできなかった。"
28,keep up with ～,～に遅れないようにする,It is difficult to keep up with the rapidly changing world.,急速に変わりゆく世の中についていくのは大変だ。
29,do away with ～,～を廃止する,We should do away with such a law.,そのような法律は廃止するべきだ。
30,find fault with ～,～を非難する ～のあら捜しをする,She is always finding fault with her husband.,彼女はいつも夫のあら捜しばかりしている。
31,get ～over,～を克服する,I don’t know how to get over the problem. ,その問題をどのように克服すべきか分からない。
31,get around ～,～を避ける,"When a problem arises, he always gets around it.","問題が生じたとき, 彼はいつもそれを避けようとする。"
32,give in （to ～）,（～に）屈する 降参する,"We had a heated argument, but eventually I gave in and accepted his suggestion.","私たちは白熱した議論を行ったが, 最終的に私が折れて, 彼の提案を受け入れた。"
32,give in （to ～）,（～に）屈する 降参する,She gave in to temptation and ate a lot of things.,"彼女は誘惑に負けて, たくさんのものを食べた。"
33,have respect for ～,～を尊重する have regard for ～: ～を尊重する,The British have a lot of respect for law and order.,英国人は法律と秩序をおおいに尊重する。
34,in addition to ～,～に加えて in addition: さらに,I have some other income in addition to regular salary.,通常の給料に加えて私には他の収入がある。
34,in addition to ～,～に加えて in addition: さらに,"I have regular salary. In addition, I have some other income.","私には通常の給料がある。さらに, 別の収入がある。"
35,in advance,前もって,"The restaurant is really popular, so you should reserve a table in advance.","そのレストランは本当に人気なので, 前もって予約しておいたほうがいいですよ。"
36,as good as one’s word,約束を守る,He is always as good as his word.,彼はいつも約束を守る。
37,be indifferent to ～,～に無関心である ～に無頓着である,Most Japanese people are indifferent to middle eastern countries.,大部分の日本人は中東の国々に無関心である。
37,be indifferent to ～,～に無関心である ～に無頓着である,"I was looking forward to the movie, but, in fact, it was very indifferent.","その映画を楽しみにしていたが, 実際はとてもさえないものだった。"
38,at will,思いのままに,You are not allowed to act at will once you join this company.,"ひとたび我が社に入社したからには, 思いのままに行動することは許されないよ。"
39,on duty,勤務中で,At the bank there are three guards on duty around the clock.,"その銀行では, 四六時中3人の守衛が勤務している。"
40,serve as ～,～として役立つ,This sofa serves as a bed.,このソファはベッドとして役立つ。
41,come by ～,～を手に入れる,How did he come by such an expensive car?,彼はどうやってそんなに高い車を手に入れたのですか。
41,come by ～,～を手に入れる,This old coin is very hard to come by these days.,"この古いコインは, 近頃では入手するのがとても困難だ。"
42,come of age,成人になる 大人の年齢に達する,"In the Jewish tradition, boys come of age when they are 13.","ユダヤ教のしきたりでは, 男子は13歳のときに成人になる。"
43,blame A for B,B の原因はA にあると考えている B の原因はA にあると言う,The report blames poor safety standards for the accident.,その報告書は事故の原因はずさんな安全基準にあると書かれている。
43,blame A for B,B の原因はA にあると考えている B の原因はA にあると言う,Bob blamed his own failure on me.,ボブは自分の失敗を私になすりつけた。
44,across from ～,～の前に ～の向かい側に,A convenience store is across from the station.,コンビニが駅の前にある。
44,across from ～,～の前に ～の向かい側に,My grandfather sat opposite to me in the kitchen.,台所で祖父が私の前に座った。
44,across from ～,～の前に ～の向かい側に,An elderly man sat in front of me on the train.,電車の中で高齢の男性が私の前に座った。
45,in time,時間内に 間に合って,I was able to answer all the questions in time.,私は時間内に全ての問題に答えることができた。
45,in time for ～,～に間に合って,You will be in time for the last train if you leave here right now.,"今すぐにここを出たら, 最終電車に間に合いますよ。"
46,on time,時間どおりに,I managed to get to the destination on time.,どうにか時間ピッタリに目的地にたどり着いた。
47,behind time,時間に遅れて,The train got to the station one minute behind time.,その電車は1分遅れで駅に到着した。
47,behind schedule,予定より遅れて,The ceremony began about an hour behind schedule.,その儀式は予定よりも約1時間遅れで始まった。
47,behind schedule,予定より遅れて,The construction was completed three days ahead of schedule.,工事は予定よりも3日早く終了した。
48,come to light,～が明るみに出る,"All the scandals came to light, and the politician was arrested after all.","全ての不祥事が明るみになり, その政治家は結局逮捕された。"
49,get nowhere,どうにもならない 成果が得られない,"I thought the negotiation would get nowhere, so I decided to leave.","私は交渉してもどうにもならないと思ったので, 出ていくことにした。"
50,cure A of B,A のB を治療する,The doctor cured him of his disease.,その医者は彼の病気を治療した。
51,clear A of B,A からB を取り除く,She is trying hard to clear her mind of doubts.,彼女は心から猜疑心を一掃しようとしている。
52,What do you say?,あなたはどうですか,Let’s eat out tonight. What do you say?,"今晩, 外食しましょう。どうですか。"
52,What do you say?,あなたはどうですか,What do you say to eating out tonight?,"今晩, 外食するのはどうですか。"
53,be supposed to V,① V すると思われている ② V することになっている,She is supposed to be good at cooking.,彼女は料理が得意だと思われている。
53,be supposed to V,① V すると思われている ② V することになっている,Everyone is supposed to wear a tie at the party.,そのパーティでは全員がネクタイを着用するということになっている。
54,carry ～ out,～を実行する,"It is easy to make a plan, but it is difficult to carry it out.","計画を立てることは簡単だが, それを実行することは難しい。"
55,in general,概して 一般に,"In general, Northern Europeans are taller than Asians.","一般に, 北欧人はアジア人よりも背が高い。"
55,in general,概して 一般に,This is the case of life in general.,このことは人生一般に当てはまる。
56,manage to V,どうにかV する,I managed to answer all the questions in time.,どうにか時間内に問題を全て解いた。
57,point ～ out,～を指摘する,During the meeting he pointed out a serious mistake.,会議中に彼は深刻な間違いを指摘した。
58,look after ～,～の面倒をみる,Lucy looked after our dog while we were traveling to Europe.,"私たちがヨーロッパ旅行に行っている間, ルーシーが犬の面倒を見てくれた。"
59,take over ～,～を引き受ける,I don’t want to take over any more work.,これ以上の仕事を引き受けたくない。
60,put ～ on,① ～を身につける ② ～を塗る,The boy put on a sweater.,その少年はセーターを着た。
60,put ～ on,① ～を身につける ② ～を塗る,The boy put on a trouser.,その少年はズボンをはいた。
60,wear ～,① ～を身につけている ② ～を塗っている,The boy wears a sweater and a trouser.,その少年はセーターとズボンを着用している。
61,take ～ off,①～を脱ぐ ～を取る ② （飛行機が）離陸する,He took his hat off and said hello to me.,"彼は帽子を取って, 私に挨拶をした。"
61,take ～ off,①～を脱ぐ ～を取る ② （飛行機が）離陸する,The plane is going to take off in a few minutes.,その飛行機はあと数分で離陸します。
62,bring ～ up,～を育てる,I was born and brought up in Osaka. ,私は大阪で生まれ育った。
63,contrary to ～,～とは逆に ～とは違って,"Contrary to popular belief, elephants are not so gentle.","一般的に信じられていること違って, 象はそんなに大人しくない。"
64,in contrast,これに対して 反対に,"We harvested 50 tomatoes last year. In contrast, we harvested only 30 this year.",昨年はトマトを50個収穫できた。これに対して今年は30個しか収穫していない。
65,on the contrary,それどころか,"I don’t hate the job. On the contrary, I love it.","その仕事が嫌いなのではない。それどころか, 大好きだ。"
65,on the contrary,それどころか,"I’m not free. On the contrary, I’m very busy.","私は暇ではない。それどころか, とても忙しい。"
66,keep ～ waiting,～を待たせる,I’m sorry to have kept you waiting so long.,こんなに長い間待たせてしまって申し訳ありません。
67,be at a loss,困っている 途方に暮れている,"I came to an intersection, but since I had no map, I was at a loss.",交差点にやってきたが、地図を持っていなかったので、途方に暮れていた。
67,be at a loss,困っている 途方に暮れている,I was at a loss for words.,私はそのとき言葉に詰まっていた。
67,be at a loss,困っている 途方に暮れている,I was at a loss as to what to say at that time.,私はそのとき何を言ってよいか困っていた。
68,add A to B,A をB に加える,Will you add sugar to the coffee ?,コーヒーに砂糖を入れてくれませんか。
68,add A to B,A をB に加える,The experience greatly added to my store of knowledge.,その経験で私の知識量がおおいに増えた。
69,have something to do with ～,～と何か関係がある,I have nothing to do with this project.,私はこのプロジェクトと何の関係もない。
69,have something to do with ～,～と何か関係がある,I have to do with this project.,私はこのプロジェクトと関係がある。
70,as far as ～,～まで,"It was a sunny day, so I walked as far as the post office.","天気のよい日だったので , 郵便局まで歩いた。"
71,learn ～ by heart,～を暗記する,I learned the poem by heart when I was in elementary school.,"小学校のころ , その詩を暗記した。"
72,engage in ～,～に従事する ～に携わる,A lot of people engaged in this project.,たくさんの人がこのプロジェクトに携わった。
72,be engaged in ～,～に従事している ～に携わっている oneself が脱落したもの,He was engaged in various sporting activities in high school.,"高校時代 , 彼は様々なスポーツ活動に携わっていた。"
73,compare A with B,A をB と比較する,I compared the new computer with the old one.,その新しいコンピュータを古いコンピュータと比較した。
74,compare A to B,① A をB と比較する ② A をB に例える,Life is often compared to a voyage.,人生はよく航海に例えられる。
75,compared with ～,～と比較すると,"Compared with his father, he is not so sociable.","父親と比較すると , 彼はそんなに社交的ではない。"
76,in comparison with ～,～と比較すると,"In comparison with Osaka, our city is really small.","大阪と比較すると , 私たちの都市 は本当に小さい。"
77,play a trick on ～,～にいたずらをする,The boy is always playing a trick on people around him.,その少年はいつも周囲の人のいたずらばかりしている。
78,in particular,特に 中でも,"In general, Asian people work hard. In particular, most Japanese people are workaholics.",一般にアジア人は勤勉だ。 特に日本人の大半は仕事中毒だ。
79,in vain,むだに,"I tried to give up smoking last year, but in vain.",私は昨年禁煙を試みたが無駄だった。
80,look up to ～,～を尊敬する,He is looked up to by all as their leader.,彼はリーダーとしてみんなから尊敬されている。
81,look down on ～,～を見下す on,Don't look down on people just because they are poor.,貧しいというだけで人を見下してはならない。
82,look into ～,～(綿密に)を調査する,The police are looking into the cause of the accident.,警察官がその事故の原因を調査中である。
83,look over ～,（ざっと）～に目を通す,She looked over the menu and ordered steak.,"彼女はメニューに目を通して , ステーキを注文した 。"
84,once in a while,時折 たまに,"Once in a while, I go to gym for a workout.","時折 , 私はトレーニングをしにジムへ行く。"
85,on purpose,わざと,I think that he made that mistake on purpose.,彼はわざとその間違いをしたと思う。
86,pass away,（人が）亡くなる,Last night my grandmother passed away at the age of 79.,昨夜私の祖母 が 79 歳で逝去した。
87,out of the question,問題外 ありえない,His behavior at the party was out of the question.,彼のそのパーティでの振舞いはありえないものだった。
88,pick ～ out,～を選ぶ,My girlfriend picked out a tie to go with this suit.,ガールフレンドがこのスーツに似合うネクタイを選んだ 。
89,lay off ～,～を解雇する,"Because of the depression, the company laid off 250 workers last December.","不況のせいで , その企業は昨年の 12 月に 250 人の労働者を解雇した。"
90,show up,現れる,He showed up at the party with his girlfriend.,彼はガールフレンドと一緒にそのパーティに現れた。
91,in person,直接 実際に,I met him in person.,私は直接彼に会った 。
91,in the flesh,生で 実際に,He looked much shorter in the flesh than on television.,彼はテレビよりも実際にはるかに背が低く見えた。
92,lie on one’s back,あおむけに寝る,I like lying on my back on the grass and look ing up at the sky.,"草の上に寝転がって , 空を眺めるのが好きだ。"
93,lie on one’s stomach,うつぶせになる,She often lies on her stomach and checks her smart phone.,"彼女はうつぶせになって , スマホをチェックすることが多い。"
94,lie on one’s side,横向きになって寝る,She was lying on her side.,彼女は 横向き になって寝ていた。
95,hand ～ out,～を配布する,I have to hand it in by the end of this month.,月末までにそれを提出しなければならない。
95,hand ～ out,～を配布する,Can I check in now?,今チェックインできますか。
95,hand ～ out,～を配布する,I’d like to check out at nine tomorrow.,"明日 , 9 時にチェックアウトしたいです。"
95,hand ～ out,～を配布する,I checked in the books at the library.,私は図書館でその本を返却した。
95,hand ～ out,～を配布する,I checked out some books at the library.,私は図書館で本を何冊か借りた。
95,hand ～ out,～を配布する,I checked in at nine o ’clock.,今日は 9 時に出勤した。
95,hand ～ out,～を配布する,I waited in line at the checkout counter.,レジカウンターで並んで待った。
96,名詞 near by,近くの～ / 名詞 close by: 近くの～,We played catch in a park near by.,私たちは近くの公園でキャッチボールをした。
97,（close） at hand,すぐ近くに,The mid term exam is close at hand.,中間テストはもうすぐだ。
98,look a word up in the dictionary,辞書で単語を調べる,Look the word up in the dictionary.,辞書でその単語を調べなさい。
98,look a word up in the dictionary,辞書で単語を調べる,"I’ll look up the train schedule before going to the station, just in case.","念のため , 駅に行く前に電車の時刻を調べます。"
98,look a word up in the dictionary,辞書で単語を調べる,"I’ll look up the place on the Google map, just in case.",念のため グーグルマップでその場所を調べます。
99,make (both) ends meet,収入内でやりくりする,We have to make ends meet this month.,今月は収入内でやりくりしなければならない。
100,on a large scale,大規模に,He is doing business on a large scale.,彼は事業を大規模に営んでいる。
101,persist in ～,～に固執する,He is always persisting in his own views.,彼はいつも自分の意見に固執してばかりいる。
102,get along with ～,～と問題なくやっていく,"He is really hard to please, so it is difficult to get along with him.","本当に気難しい人だから, 彼と問題なくやっていくのは難しいですよ。"
103,run a risk,危険を冒す,"I don’t want to run a risk of infection, so I won’t go out today.","私は感染症の危険を冒したくないので,今日は外出しません。"
104,see the sights of ～,～を観光する,I will see the sights of the city this afternoon.,"今日の午後 , その都市を観光します。"
105,show ～ off,～を見せびらかす ～をひけらかす,She just visited us to show off her ring.,彼女は自分の指輪を見せびらかすために私たちのところを訪問しただけだ。
106,hand ～ down,① ～を伝える ② ～を受け継がせる,This watch was handed down to me from my grandfather.,この腕時計は祖父から引き継いだものだ。
106,pass A down to B,A をB に伝える,This song was passed down from generation to generation.,この歌は世代から世代へと伝えられた。
107,make use of ～,～を利用する,"When you study English, you should make constant use of this dictionary.","英語を勉強するときは , 常にこの辞書利用するべきですよ。"
108,close to ～,～に近い,You should avoid getting too close to the TV screen.,テレビの画面にあまり近づきすぎないようにしたほうがいいですよ。
109,take the trouble to V,わざわざ～する,"Mike, who is always busy, took the trouble to come and see me.",いつも忙しいマイクがわざわざ私に会いにきてくれた。
110,second to none,誰にも負けない 右に出るものはいない,Bob is second to none in swimming.,水泳でボブの右に出るものはいない。
111,a great deal of ～/ a good deal of ～,大量の～ かなりの～,This task requires a great deal of concentration.,この仕事にはかなりの集中力を要する。
111,a great deal of ～/ a good deal of ～,大量の～ かなりの～,We suffered from a great many of troubles.,我々はかなりの数のもめごとに悩んだ。
112,differ from ～,～と異なる,Let's check why your answers differ from mine.,なぜあなたの答えが私の答えと違うのかを検討してみよう。
113,by means of ～,～を用いて・～によって,We entered the information by means of the keyboard.,私たちはキーボードを用いてその情報を入力した。
114,by no means,決して～ない,Your essay is by no means satisfactory.,君の作文は決して満足のいくものではない。
115,more or less,① ほとんど ② およそ,The road was more or less flat.,道路はほとんど平らだった。
115,more or less,① ほとんど ② およそ,"There were 50 people there, more or less.",そこにはおよそ 50 人いた。
116,get to one’s feet,立ち上がる,The old man got to his feet with difficulty.,その男性はどうにか立ち上がった。
117,distinguish A from B,A をB と区別する,What distinguishes human beings from animals?,人間を動物と区別しているものは何ですか。
118,above all (things),何よりもまず,"Of course I have a lot of things to learn, but above all, I should improve my English skills.",確かに学ぶ べきことはたくさんあるが何よりもまず英語力を上げるべきだ
119,call for ～,～を要求する,They called for a ban on nuclear tests.,彼らは核実験の禁止を要求した 。
120,mind your own business,余計なお世話だ,Mind your own business. This has nothing to do with you.,余計なお世話だ。このことはあなたと何の関係もない。
121,go through ～,（困難）を経験する,People in those days went through a long period of hardships.,その当時の人々は長い苦難の時代を送った。
121,get through ～,（困難）を切り抜ける,We got through a long period of hardships.,私たちは長い苦難の時代を切り抜けた。
122,for the sake of ～,～のために,She moved to a warmer place for the sake of her health.,彼女は健康のためにもっと暖かい場所に引越しした。
122,for the sake of ～,～のために,"Some students learn chemistry for its own sake, not for the entrance exams.","一部の生徒は入試のためではなく , 純粋に化学を勉強している。"
123,turn ～ down,～を断る・～を却下する,I was surprised to hear that she had turned down the attractive offer.,彼女がその魅力的な申し出を断ったのを聞いて私は驚いた。
124,what you call / what is called,いわゆる,This is a picture of what is called a caveman.,これはいわゆる穴居人の絵である。
125,have ～ in common (with ～),(～と)共通点がある,The culture of this country has a lot in common with that of ours.,この国の文化は私たちの国の文化と共通点がたくさんある。
126,agree to ～,～に同意する,Our boss will surely agree to your proposal.,上司はきっと君の提案に同意してくれますよ。
126,agree with ～,～に同意する,I m afraid I can t agree with you.,残念ながらあなたの考えには同意できません。
127,at the wheel,運転中,The truck driver must have been asleep at the wheel.,そのトラック運転手は運転中に居眠りしていたにちがいない。
128,put up with ～,（嫌なこと）を我慢する,I had to put up with the situation.,私はその状況に我慢しなければならなかった。
129,get caught (up) in a shower,通り雨にあう,I got caught up i n a shower on my way home from school.,学校から帰る途中に通り雨にあった。
129,get caught (up) in a traffic jam,交通渋滞にあう,I got caught up in a traffic jam on my way to work.,職場へ行く途中に交通渋滞にあった。
130,pay attention to ～,～を注意して見る ～を注意して聞く,You should pay more attention to what he says.,彼の発言にもっと注意して聞くべきだ。
131,feel like Ving,～したい気がする,I don't feel like going out today.,今日は外出したい気がしない 。
132,fall short of ～,～に達しない,His profits fell short of his expectations.,彼の 収益は予想に達しなかった。
133,make ～ out,～がわかる,I can't make out what the words on that sign say.,その看板に書いてあることが判読できない。
134,(all) by oneself,（他人から離れて）ひとりぼっちで,The girl is not used to playing all by herself.,その女の子は一人ぼっちで遊ぶのに慣れていない。
135,insist on Ving,～することを言い張る ～するようにしつこく言う,My daughter insisted on being taken to the amusement park.,私の娘は遊園地に連れて行ってほしいとせがんだ。
136,in the end,最後に ついに,His hard work paid off in the end.,彼の努力はついに実を結んだ。
137,stand out,① 突き出る ② 目立つ,A red dress made her stand out.,赤いドレスのため彼女は目立った。
137,stand out,① 突き出る ② 目立つ,So many people in Japan wear a mask these days.,日本では最近マスクをつけている人が多い（目立っている）。
138,sum up ～,～を要約する ～を合計する,"To sum up today's lecture, I will mention these three points.","今日の講義をまとめるために, この 3 つの要点を述べます。"
139,take pains,苦労する,I took great pains to prepare this dinner for you.,君のためにこの夕食を作るのにとても苦労した。
140,take turns,交代する,We took turns driving our car on our way home.,"家に帰る途中 , 私たちは交代で車を運転した。"
141,make up for ～,～を償う ～の埋め合わせをする,I have to make up for the loss right away.,私はすぐに損失の埋め合わせをしなければならない 。
142,under way,進行中で,The construction of the new subway is under way.,新しい地下鉄の建設が進行中である。
143,watch one’s step,足元に注意する,Watch your step. The floor is slippery.,足元に注意してください。床が滑りやすくなっています。
144,What ... for?,何のために,What did they come here for?,彼らは何のためにここへ来たのですか。
145,cannot V too ～,～してV するに越したことはない,You cannot be too careful in choosing a doctor.,"医者を選ぶ際 は,注意するに越したことはない。"
146,at heart,心の底では・根は,"He looks so mean and arrogant, but at heart, he’s a good guy.",彼 はとても意地悪で傲慢に見えるがでも根はいいやつなんだ。
147,peculiar to ～,～特有の,This is a custom peculiar to Japan.,これは日本特有の習慣である。
148,between you and me,ここだけの話だが,"Between you and me, I am going to quit my present job soon.","ここだけの話だが,私はもうすぐ今の仕事を辞めます。"
149,burst into laughter,急に笑い出す,All the people in the hall burst into laughter at the joke.,"会場の人が全員,その冗談で急に笑い出した。"
