🍎,熟語部分（英訳）,熟語部分（和訳）,英文,和文
294,rule ～ out,～を除外する ～を排除する,We cannot rule out the possibility of a riot.,暴動の可能性は排除できない。
295,by nature,①生まれつき ② 根は,He is emotional and aggressive by nature.,"彼は生まれつき感情が激しく, 積極的だ。"
296,for the time being,当分の間,We are going to stay at this hotel for the time being.,"当分の間, 我々はこのホテルに泊まるつもりだ。"
297,back and forth,前後に あちこちに,I saw the man walking back and forth on the street.,私はその男性が通りをあちこちに歩いているのを目にした。
297,here and there,ところどころ ちらほら,You can find convenience stores here and there in this town.,この町ではコンビニがところどころにあります。
298,sooner or later,遅かれ早かれ いずれ,We’ll have to tackle the problem sooner or later.,遅かれ早かれその問題に取り組まなければならなくなる。
299,behind one’s back,影で 人のいないところで,You should not say bad things about others behind their back.,影で人の悪口を言うべきではない。
300,make a living,生活費を稼ぐ,It’s hard to make a decent living as a musician.,ミュージシャンとしてまともに生活費を稼ぐことは難しい。
301,under construction,建設中,A new building is under construction.,新しい建物が建設中だ
301,under construction,建設中,A new building is being constructed.,新しい建物が建設中だ
302,under pressure,プレッシャーを受けて 重圧を受けて,Many people try to avoid working under pressure.,"多くの人は, プレッシャーを受けて仕事をするのを避けようとする。"
302,under stress,ストレスを受けて ストレスを感じて,Many people in this workplace are under a lot of stress every day.,この職場の多くの人は毎日大きなストレスを受けている。
303,deal with ～,（困難なこと）に対処する,His job is to deal with customer complaints.,彼の仕事は顧客の苦情に対処することだ。
303,cope with ～,～にうまく対処する,He will cope with difficult situations.,彼は困難な状況にうまく対処できるだろう。
304,on behalf of ～,～を代表して,Linda gave a thank-you speech to the teachers and parents on behalf of all the graduating students.,"リンダは全卒業生を代表して, 教員と父母に感謝の辞を述べた。"
305,go from bad to worse,ますます悪化する,Things went from bad to worse.,事態はますます悪化した。
306,deprive O of ～,O から～を奪う,The disaster deprived us of our happiness.,その災害で我々は幸福を奪われた。
306,deprive O of ～,O から～を奪う,The man robbed the elderly woman of her handbag.,"その男は老婦人を襲って, ハンドバッグを奪った。"
306,deprive O of ～,O から～を奪う,The man robbed the bank.,その男は銀行を襲った。
306,deprive O of ～,O から～を奪う,The men robbed the ship.,その男たちは船を襲った。
307,see 人 off,人を見送る,We saw him off at the airport.,私たちは空港で彼を見送った。
308,hang up,電話を切る,"Don’t hang up. Hold on, please.",電話を切らないで。 そのままお待ちください。
308,hold the line,電話を切らずに待つ,Would you please hold the line for a few seconds? I’ll transfer your call.,しばらくの間切らずにお待ちいただけますか。電話をおつなぎいたします。
309,on end,続けて たて続けに 連続して,I worked for three days on end.,私は 3 日間続けて仕事をした。
309,on end,続けて たて続けに 連続して,I won three times in a row.,私は 3 連勝した。
310,in danger,危険な状態で,This motorbike rider is dangerous. The man is in danger.,このバイク走者は危険だ。 その男性の身が危ない。
311,painful,痛い 苦しい,This injection was very painful to the child.,この注射はその子供にはとても痛かった。
311,in pain,痛い 苦しい,The child was in a lot of pain after the injection.,"注射の後, その子供はとても痛がっていた。"
312,in need of ～,～を必要としている,A wheelchair is necessary for him.,彼には車椅子が必要だ。
312,in need of ～,～を必要としている,He is in desperate need of a wheelchair.,彼は車椅子を切実に必要としている。
312,in need of ～,～を必要としている,We are raising money to help people in need.,私たちは困っている人を助けるためにお金を集めている。
313,from ～ point of view,～の観点から,He cannot see the matter from our point of view.,彼は我々の観点からその問題を見ることができない。
314,break up,① 解散する ② （パーティなどが）終わる ③ 〈夫婦や恋人などが〉別れる,The meeting finally broke up at ten.,会議がようやく 10 時に終わった。
314,break up,① 解散する ② （パーティなどが）終わる ③ 〈夫婦や恋人などが〉別れる,My wife and I broke up last year.,妻と私は昨年別れました。
315,break out,（戦争や火事などが）勃発する,The war broke out when I was in England.,"私がイギリスにいたときに, その戦争が勃発した。"
316,call on 人,人を訪ねる,"I called on my grandparents last Sunday, but they were not at home.","この前の日曜日に祖父母を訪ねたが,彼らは家にいなかった。"
316,call on 人,人を訪ねる,She called on her father to take her to the amusement park.,彼女はお父さんに遊園地に連れて行ってとせがんだ
317,scary,怖い 恐ろしい,The robber was very scary. I was very scared of the robber.,その強盗はとても怖かった。
317,be scared of ～,～に怖がる ～に怖える,I was very scared of the robber.,私はその強盗がとても怖かった。
318,advantageous,有利な disadvantageous:不利な,The condition is advantageous for me.,その条件は私にとって有利だ。
318,at an advantage,有利な状態（立場）にある at a disadvantage:不利な状態（立場）にある,I am at an advantage compared to others.,私は他の人と比べると有利な状態にある。
318,advantageous,有利な disadvantageous:不利な,The debt is disadvantageous to me.,借金が私には不利だ。
,advantageous,有利な disadvantageous:不利な,I am at a disadvantage compared to others.,私は他の人と比べると不利な状態にある。
318,advantageous,有利な disadvantageous:不利な,The huge debt put the man at a disadvantage.,"巨額の借金のせいで, その男性は不利な状態になった。"
319,keep ～ off,～に近寄らない ～から離れている,There was a sign saying “Keep off the grass.”,「芝生への立ち入り禁止」と書かれた札があった。
320,die out,絶滅する,Dinosaurs died out millions of years ago.,恐竜は何百万年も前に絶滅した。
320,become extinct,絶滅する,A lot of plants and animals in this area are becoming extinct.,この地域の多くの動植物は絶滅しつつある。
321,take to 人,～を（すぐに）好きになる,"When I introduced Bob to Nancy, they seemed to take to each other immediately.","ボブをナンシーに紹介したとき, 彼らはすぐにお互いを気に入ったようだった。"
322,make do with ～,～で済ます ～で我慢する,I usually make do with a glass of vegetable juice for breakfast.,"普段, 朝食にはコップ一杯の野菜ジュースで済ませている。"
323,do without ～,～なしでやっていく ～なしで済ます ～なしで我慢する,It is difficult to do without a car in this business.,この仕事は車なしでやっていくことは難しい。
324,believe in ～,～の（存在・人格・価値・能力）を信じている,My daughter still believes in Santa Claus. ,娘はまだサンタクロースの存在を信じている。
324,believe in ～,～の（存在・人格・価値・能力）を信じている,You can do it if you believe in yourself.,"自分の力を信じているなら, それができるよ。"
324,believe in ～,～の（存在・人格・価値・能力）を信じている,I believe you.,君の言ったことを信じている。
325,tell on 人,人の体に悪影響を及ぼす 人の体にこたえる,Hard work was beginning to tell on him.,激務が彼の体に悪影響を及ぼし始めていた。
326,tell 人 off,～を叱りつける,The teacher told me off for coming to school late.,先生は遅刻してきたことに対して私を叱りつけた。
326,tell 人 off,～を叱りつける,John got told off for sleeping during the class.,"ジョンは授業中, 居眠りをしていたので叱られた。"
327,fall victim to ～,～の犠牲になる fall,She fell victim to the disaster.,彼女は災害の犠牲になった。
328,put ～ out,（火やタバコなど）を消化する 消す,The firefighters put out the fire in an hour.,消防隊員は一時間で消火した。
329,fall behind ～,～に遅れをとる,Tom began to fall behind the rest of the students in his studies.,トムは他の生徒よりも勉強が遅れ始めた。
330,come to,意識が回復する,"I was hit by a motorbike on the street, and when I came to, I was on the hospital bed.","私はその通りでバイクに轢かれ, 意識が回復したときは, 病院のベッドの上だった。"
331,on and off,① 断続的に ② 時々,The light is flashing on and off.,明かりが点滅している。
331,on and off,① 断続的に ② 時々,It rained on and off yesterday.,昨日は雨が降ったりやんだりしていた。
332,have a flat tire,タイヤがパンクしている,We had a flat tire on our way to the destination.,目的地に行く途中タイヤがパンクしていた。
333,pull one’s leg,人をからかう,Tomorrow is not a holiday. Don’t believe George. He’s just pulling your leg.,明日は休日じゃないよ。 ジョージの言うことを信じないで。 君をからかっているだけだよ。
334,stay up,（寝ないで）起きている,My son stayed up late last night.,息子は昨夜遅くまで起きていた。
,stay up,（寝ないで）起きている,I was waiting up for my husband to come home.,私は夫が帰宅するのを起きて待っていました。
335,make it to ～,（どうにか）～に間に合う たどり着く,I made it to the station before the train left.,電車が出る前に私は駅にたどり着いた。
335,make it to ～,（どうにか）～に間に合う たどり着く,My son has an important exam next week. I hope he will make it.,息子は来週重要な試験がある。うまくいってくれるといいのですが。
336,just around the corner,すぐ近くに来ている すぐ近くにある,The summer vacation is just around the corner.,夏休みはすぐそこまで来ている。
336,just around the corner,すぐ近くに来ている すぐ近くにある,Tom is coming just around the corner.,トムがすぐそこまで来ている。
337,have words with ～,～と口論する,I often have words with my wife about my son.,私はよく息子のことで妻と口論する。
338,wait on ～,～に仕える,Have you been waited on?,御用をお伺いしておりますか。
339,fall on 日時や曜日,～に当たる,My birthday falls on a Sunday this year.,"今年, 私の誕生日は日曜日に当たる。"
340,fall apart,① バラバラになる ② 破綻する,I heard a dish fall apart in the distance.,遠くでお皿が落ちて割れる音が聞こえた。
341,take in ～,① ～を理解する ② ～を騙す ③ （子供など）を引き取る・預かる,It took me a while to take in what this book said.,この本の内容を理解するのにしばらく時間がかかった。
341,take in ～,① ～を理解する ② ～を騙す ③ （子供など）を引き取る・預かる,I was taken in by the salesman and bought a very expensive product.,"私はセールスマンに騙されて, 非常に高額な商品を買ってしまった。"
341,take in ～,① ～を理解する ② ～を騙す ③ （子供など）を引き取る・預かる,"After my mother’s death, my aunt took me in.","母の死後, 叔母が私を引き取った。"
342,bring out ～,① ～を引き出す ② （新商品）を販売する ③（本）を出版する,Her new book will be brought out next spring.,"彼女の新しい本は, 来春出版されます。"
342,bring out ～,① ～を引き出す ② （新商品）を販売する ③（本）を出版する,Her new book will come out next spring.,"彼女の新しい本は, 来春出版されます。"
342,bring out ～,① ～を引き出す ② （新商品）を販売する ③（本）を出版する,The cherry blossoms come out in April.,4月に桜の花が咲く。
342,bring out ～,① ～を引き出す ② （新商品）を販売する ③（本）を出版する,The secret came out.,秘密が漏れた。
343,at the mercy of ～,① ～に翻弄されて ②～に好き放題されて,His life was at the mercy of the king.,彼の生活は王様に翻弄されていた。
343,at the mercy of ～,① ～に翻弄されて ②～に好き放題されて,Our life is at the mercy of natural disasters.,私たちの生活は自然災害に翻弄されている。
344,work out,① 運動する （身体を）鍛える ② （考えや策）を出す ③ ～を解決する,I work out at a gym a few times a week.,"私は週に2, 3回ジムで運動している。"
344,work out,① 運動する （身体を）鍛える ② （考えや策）を出す ③ ～を解決する,"In view of the failure, we should work out a new approach.","失敗を考えると, 私たちは新しい方法を考え出すべきだ。"
344,work out,① 運動する （身体を）鍛える ② （考えや策）を出す ③ ～を解決する,"If you cannot work out the problem, you should try a different approach.","その問題が解決できないなら, 違った方法を試すべきだ。"
345,live up to ～,（期待など）に添う ～に応える,He tries his best to live up to his parents’ expectations.,彼は両親の期待に応えるために最善を尽くしている。
346,by virtue of ～,～のおかげで,She believes that she was able to succeed by virtue of her effort.,彼女は自分の努力のおかげで成功することができたと思っている。
347,next to nothing,ほとんどない,"When it comes to cars, he knows next to nothing.","車のこととなると, 彼はほとんど何も知らない。"
347,next to impossible,ほとんど不可能な,It is next to impossible for us to finish it in a day.,私たちが1日でそれを終わらせることはほとんど不可能だ。
348,hang out,遊ぶ つるむ ぶらつく,I’m going to hang out with my friends today.,今日は友達と遊びに行くつもりだ。
349,except for ～,～以外,The room was empty except for the woman. ,その女性以外部屋には誰もいなかった。
349,except ～,～以外,Nobody except the woman was in the room. ,その女性以外誰もその部屋にいなかった。
349,except for ～,～以外,"Besides basketball, he is good at volleyball.","バスケットボール以外に, 彼はバレーボールが得意だ。"
350,other than ～,～以外,I don’t watch TV other than news programs.,"ニュース番組以外, 私はテレビを見ない。"
350,other than ～,～以外,In our school we have to study one more foreign language other than English.,"私たちの学校では, 英語以外にもう一カ国語を勉強しなければいけません。"
351,by word of mouth,口コミで,The reputation of the new restaurant spread by word of mouth.,その新しいレストランの評判は口コミで広がった。
352,get in touch with ～ / get in contact with ～,～と連絡を取る,You can get in touch with me at the office at any time.,"職場でしたら, いつでも私と連絡を取ることができます。"
352,keep in touch with ～ / stay in contact with ～,～と連絡を取り続ける,"We went to different colleges, but we still stay in contact with each other.","私たちは違う大学に進学したが, 今でもお互いに連絡を取り続けている。"
353,conduct a study of ～,～に関する研究を行う,A study was conducted of how young children perceive the world around them.,幼い子供が周りの世界をどのように捉えているかに関する研究が行われた。
354,over a cup of tea,お茶を飲みながら over,Let’s talk about it over a cup of tea.,お茶を飲みながらそのことについて話し合いましょう。
354,over dinner,夕食を食べながら,We discussed the matter over dinner.,私たちは夕食を食べながらその件について話し合った。
355,be committed to Ving / be committed to V,～に打ち込んでいる ～に傾倒している,They are fully committed to preparing for the Olympics.,彼らはオリンピックの準備に完全に打ち込んでいる。
356,within A of B,B からA 以内に,This website shows all the restaurants within ten minutes’ walk of the station.,このウェブサイトは駅から徒歩10分以内にあるレストランをすべて表示している。
357,beyond one’s understanding,～の理解を越えている ～には全く分からない,This math class is beyond my understanding.,この数学の授業は私には全く分からない。
358,have one’s（own）way,わがままを通す 自分の思いどおりにする,"Tom always tries to have his own way, so I don’t like him.","トムはいつもわがままを通そうとするので, 私は彼のことが好きではない。"
359,accuse A of B,① A をB のことで非難する,Peter accused her of stealing his money.,ピーターはお金を盗んだことで彼女を非難した。
359,accuse A of B,① A をB のことで非難する,Peter was accused of murder.,ピーターは殺人罪で告訴された。
359,criticize A for B,A をB のことで批判する,Peter criticizes me for everything I do.,ピーターは私のすること全てに批判する。
360,go so far as to V,V までする,She went so far as to say that all the money in the wallet should be cleaned.,彼女は財布の中のお金を全て洗うべきとまで言った。
361,cut in,（人の話）をさえぎる,"When I was expressing my ideas, someone cut in to argue with me.","私が自分の考えを述べていた時, 誰かが私と議論しようとして話を遮った。"
362,take back 発言,（発言や失言）を撤回する,I’m sorry. I will take back what I have just said.,すいません。 たった今申し上げたことを撤回します。
363,run for ～,～に立候補する ～に出馬する,He will run for president in the next election.,彼は次の選挙で大統領に立候補するだろう。
364,put A through to B,（電話で）A の電話をB につなぐ,"Excuse me, but could you put me through to Mr. David?","すいませんが, 私の電話をディビッドさんにつないでいただけますか。"
365,in an effort to V,～しようとして,He jumped out of a window in an effort to escape.,"彼は逃げようとして, 窓から飛び出た。"
366,keep one’s temper,冷静さを保つ,"John tried to keep his temper, but he lost his temper and left the room.","ジョンは冷静さと保とうとしたが, 急に怒って部屋を出て行った。"
367,line up,並ぶ,I saw four men lining up there.,私は4人の男性がそこで並んでいるのを見た。
367,in line,並んで,I saw four men standing in line there.,私は4人の男性がそこで並んでいるのを見た。
368,show 人 around 場所,人に場所を案内する,She showed me around the house.,彼女は私に家の中を案内してくれた。
369,(at) second hand,①間接的に ②中古で,We bought this house second hand.,私たちは中古でこの家を買った。
370,put ～ to use,～を活用する,It is difficult to put this theory into practice.,この理論を実践することは難しい。
371,change trains,電車を乗り換える,You need to change trains at the next stop.,次の駅で電車を乗り換える必要があります。
372,close down,（お店などが）閉店する 廃業する,I hear that the bakery closed down last month.,そのパン屋は先月廃業したようだ。
373,can afford to V,～する余裕がある,We cannot afford to buy a new car.,私たちは新車を買う余裕がない。
373,can afford to V,～する余裕がある,I’m saving money until I can afford a new car.,"私は新車が買える余裕があるようになるまで, お金を貯めている。"
374,run over ～,（乗り物が）～を轢く,He was run over by the truck and taken to the hospital.,"彼はトラックに轢かれて, 病院に運ばれた。"
375,in honor of ～,～に敬意を表して ～を称えて ～を記念して,This movie was made in honor of the soldiers of World War Ⅱ.,この映画は第2次世界大戦の兵士たちに敬意を表して作られた。
376,give ～ off,（光・音・臭い・蒸気・オーラなど）を発する 放つ,That factory gives off harmful substances.,あの工場は有害な物質を出している。
376,give ～ off,（光・音・臭い・蒸気・オーラなど）を発する 放つ,This toilet gives off terrible smell.,このトイレはひどい臭いを放っている。
377,比較級 than X combined,X を合わせたよりも～,England has produced more great poets than all other countries combined.,英国は他のすべての国を合わせたよりも多くの偉大な詩人を輩出してきた。
377,比較級 than X put together,X を合わせたよりも～,England has produced more great poets than all other countries put together.,英国は他のすべての国を合わせたよりも多くの偉大な詩人を輩出してきた。
378,long for ～,～を切望する ～を待ちわびる ～に憧れる,I’m longing for a long vacation.,私は長期休暇を待ちわびている。
378,long to V,～することを切望する ～したくてたまらない,She is longing to go to Paris to learn cooking.,彼女は料理を学ぶためにパリに行きたがっている。
379,come up,①（特定の行事が）やってくる 近づいてくる,Our wedding ceremony is coming up.,私たちの結婚式が近づいている。
379,come around,（周期的に行われる行事や季節が）やってくる 巡ってくる,A summer vacation is coming around.,春休みが近づいている。
380,come into being,"（国, 組織, 生命, 法律が）誕生する",Do you know when the law came into being?,その法律がいつ誕生したのか知っていますか。
381,stir up,①～をかき回す ②（感情）をひっかき回す かき立てる ③（騒ぎ）を巻き起こす,What he said to me stirred up my anger.,彼が私に言ったことは私の怒りをかき起てた。
381,stir up,①～をかき回す ②（感情）をひっかき回す かき立てる ③（騒ぎ）を巻き起こす,The politician’s scandal stirred up a demonstration against the government.,その政治家の不祥事は政府に反対するデモを巻き起こした。
382,at best,良くても～くらい 最高でも～くらい,I will get an average mark at best on the exam.,テストでは良くても平均点しか取れないだろう。
382,at worst,悪くても～くらい 最悪でも～くらい,I will get an average mark at worst on the exam.,テストでは悪くても平均点は取れるだろう。
383,at one’s best,最高の状態で 絶好調で,The cherry blossoms are at their best now.,その桜の花は今が最高の状態だ。
384,be fed up with ～,～にうんざりしている,I’m fed up with the same practice every day.,毎日同じ練習にうんざりしている。
385,on board,乗っている,Look! A man is on board.,見てごらん。 男性が1人乗っているよ。
385,on board,乗っている,"All passengers are on board now, so we will take off in a few minutes.","今, 乗客が全員搭乗しましたので, あと数分で離陸します。"
386,to one’s surprise,驚いたことだが 驚いたことに,Tim won the first prize at the contest to our surprise.,"ティムはコンテストで一等賞を獲得し, 私たちは驚いた。"
386,to one’s surprise,驚いたことだが 驚いたことに,"To our surprise, Tim won the first prize at the contest.","驚いたことだが, ティムはコンテストで一等賞を獲得した。"
386,to one’s surprise,驚いたことだが 驚いたことに,"To our great joy, Tim won the first prize at the contest.","非常に嬉しかったことだが, ティムはコンテストで一等賞を獲得した。"
386,to one’s surprise,驚いたことだが 驚いたことに,"To the disappointment of my parents, I couldn’t win the first prize at the contest.","両親ががっかりしたことだが, 私はコンテストで一等賞を獲得することができなかった。"
387,gain weight,体重が増える 太る 🍎 388. lose weight: 体重が減る 痩せる,My father has gained a lot of weight.,父は非常に太った。
387,put on weight,体重が増える 太る take off weight: 体重が減る 痩せる,My father has put on a lot of weight. ,父は非常に太った。
388,lose weight,体重が減る 痩せる,My father has lost a lot of weight. ,父は非常に痩せた。
388,take off weight,体重が減る 痩せる,My father has taken off a lot of weight. ,父は非常に痩せた。
389,all the way,① （道中）ずっと ② はるばる わざわざ,I had to all the way to the station.,私は駅までずっと走らなければならなかった。
389,all the way,① （道中）ずっと ② はるばる わざわざ,Thank you for coming all the way to Tokyo.,はるばる東京までお越しいただきありがとうございます。
390,reflect on ～,（過去の言動など）をじっくり考える,Take time to reflect on your successes and failures.,"時間をかけて, うまくいったことといかなかったことをよく考えて下さい。"
390,reflect on ～,（過去の言動など）をじっくり考える,Stop dwelling on the past.,過去のことについてくよくよ考えるのを止めなさい。
391,rich in ～,～が豊富にある,Australia is rich in natural resources.,オーストラリアは天然資源が豊富だ。
391,poor in ～,～が乏しい,Japan is poor in natural resources.,日本は天然資源が乏しい。
392,trial and error,試行錯誤,I learned about gardening through trial and error.,私は試行錯誤を通じてガーデニングを学んだ。
393,in the corner of ～,～の隅に,There is a bench in the corner of the park.,その公園の隅にベンチがある。
393,on the corner of ～,～の角に in the corner → on the corner,There is a post on the corner of the street.,その通りの角に電柱がある。
394,attend to ～,①（お客など）に応対する ← flight attendant は機内の「接客係」,Please take a seat. I’ll attend to you shortly.,おかけになって下さい。 まもなく応対させて頂きます。
394,attend to ～,①（お客など）に応対する ← flight attendant は機内の「接客係」,You should attend to what your boss is saying.,君は上司が言うことを注意して聞くべきだ。
395,as it turned out ～,実際にどうだったかというと～だった 実際には～だった,"We thought Tom was cold-hearted, but as it turned out, he was very kind.","私たちはトムが心の冷たい人だと思っていたが, 実際はとても優しかった。"
395,it turned out that S V ～,実際にどうだったかというと～だった 実際には～だった,"We thought Tom was cold-hearted, but it turned out that he was very kind.","私たちはトムが心の冷たい人だと思っていたが, 実際はとても優しかった。"
396,aim to V,～することを目指す ～することを心がける,Education should aim to develop potential abilities.,教育は潜在能力を磨くことを目指すべきだ。
396,aim at Ving,～することを目指す ～することを心がける,Softdrink commercials are aimed mainly at teenagers.,清涼飲料のコマーシャルは主に10代の若者を対象としている。
397,for all ～,～があるにも関わらず あれだけの～にも関わらず,"For all his wealth, he lives very frugally.","財産があるにも関わらず, 彼は非常に質素な暮らしをしている。"
397,for all ～,～があるにも関わらず あれだけの～にも関わらず,She does not look happy for all her success.,"あれだけの成功をおさめたにも関わらず, 彼女は幸せそうに見えない。"
398,mean to V,～するつもりである,I didn’t mean to hurt you.,あなたを傷つけるつもりはなかった。
399,owe X Y,① X にY を借りている ② X にY の恩を感じている,I owe my parents a lot of money.,私は両親に多額のお金を借りている。
399,owe X Y,① X にY を借りている ② X にY の恩を感じている,I owe my success to my parents.,私は自分の成功は両親のおかげだと思っている。
400,give ～ away,① （無料で）～をあげる ～を配る ② （秘密）を暴露する もらす,The restaurant owner gave away food to children in need.,そのレストランのオーナーは困窮している子供に食べ物を無料で提供した。
400,give ～ away,① （無料で）～をあげる ～を配る ② （秘密）を暴露する もらす,He gave away the secret to us.,彼は私たちに秘密をもらした。
401,come under attack,攻撃を受ける 非難される,"The city has come under attack, so everyone is in a panic now.","その都市は攻撃を受けたので, 今すべての人がパニックだ。"
402,at risk,危ない,Removing the bomb is very risky. The man is at risk.,その爆弾を処理することはとても危険だ。 その男性の身が危ない。
402,at risk,危ない,Removing the bomb put the man at risk.,"爆弾処理のせいで, その男性の身が危険だった。"
403,go bankrupt,破産する,The company went bankrupt last week.,その会社は先週破産した。
403,go out of business,廃業する,The shop went out of business last week.,そのお店は先週廃業した。
404,figure ～ out,～がわかる ～を把握する,I can’t figure out what it is.,それが何なのか分からない。
404,figure ～ out,～がわかる ～を把握する,How did you figure that out?,どうしてそんなことが分かったの?
405,be better off,良い生活をしている 暮らし向きがよい,"Taro is better off than he was ten years ago, but Jiro is worse off.","太郎は10年前よりも良い生活をしているが, 次郎は辛い生活をしている。"
405,be better off,良い生活をしている 暮らし向きがよい,You will be better off living in the countryside.,君は田舎暮らしをするほうが良い生活になるよ。
406,in (the) light of ～,～の観点から ～を考慮して,We decided to cancel the outdoor event in light of the weather forecast.,"天気予報を考慮して, 私たちは野外イベントを中止することに決めた。"
407,get into ～,～に乗る get out of ～：～から降りる,I got into a taxi at Osaka Station and got out of it near the post office.,"私は大阪駅でタクシーに乗り, 郵便局の近くで降りた。"
407,get on ～,～に乗る get off ～：～から降りる,I got on a bus at Osaka Station and got off at the post office.,"私は大阪駅でバスに乗り, 郵便局の近くで降りた。"
407,get into ～,～に乗る get out of ～：～から降りる,"I couldn’t take a bus last night, so I took a taxi to go home.","昨夜バスに乗れなかったので, タクシーに乗って帰宅した。"
407,get into ～,～に乗る get out of ～：～から降りる,I was so tired that I fell asleep when I was on the bus.,"とても疲れていたので, バスに乗っているときに寝てしまった。"
408,be on the point of Ving,（まさに）～しようとしている,"I was on the point of diving into the river, but I didn’t.","私は川に飛び込もうとしていたが, しなかった。"
409,weigh A against B,A をB と比較検討する A をB と天秤にかける,Be sure to weigh the positive aspects against the negative ones.,必ずプラス面をマイナス面と比較して検討するように。
410,be lost in thought,もの思いにふけいっている 考え事をしている,I was lost in Hokkaido.,私は北海道で道に迷った。
410,be lost in thought,もの思いにふけいっている 考え事をしている,I was lost in thought.,私はもの思いにふけいっていた。
411,go off,（セットした爆弾が）爆発する,A bomb went off in a crowded street.,"混雑した通りで, 爆弾が爆発した。"
411,go off,（セットした爆弾が）爆発する,An alarm clock went off.,目覚ましが鳴った。
412,beat around the bush,遠回しに言う,Don't beat around the bush. Get to the point.,遠回しに言わないで。要点を言って下さい。
413,get the better of ～,～を負かす・～に打ち勝つ,No one can get the better of him in an argument.,誰も議論で彼に勝てない。
413,get the better of ～,～を負かす・～に打ち勝つ,Temptation got the better of me.,私は誘惑に負けた。
413,get the better of ～,～を負かす・～に打ち勝つ,I got the better of temptation.,私は誘惑に打ち勝った。
414,on the brink of ～,①～の寸前である　②（まさに）～しそうである,The glass is on the brink of overflowing.,そのグラスは今にも中身がこぼれそうである。
414,on the brink of ～,①～の寸前である　②（まさに）～しそうである,She was on the brink of tears.,彼女は今にも泣きそうだった。
415,via ～,①～経由で　②～を通じて,My father flew to New York via Hawaii.,父はハワイ経由でニューヨークに行った。
415,by way of ～,①～経由で　②～を通じて,My father flew to New York by way of Hawaii.,父はハワイ経由でニューヨークに行った。
415,via ～,①～経由で　②～を通じて,My husband and I got to know each other via a mutual friend.,夫と私は共通の友人を通じてお互いに知り合った。
415,by way of ～,①～経由で　②～を通じて,My husband and I got to know each otehr by way of a mutual friend.,夫と私は共通の友人を通じてお互いに知り合った。
416,be ashamed of ～,～を恥ずかしく思っている,I am ashamed of my past behavior.,私は過去の行動を恥ずかしく思っている。